Ortsnummer,Ortsnamn,Kommunnamn,Länsnamn,Region
102118,Karlshamn,Karlshamn,Blekinge,1
102120,Karlskrona,Karlskrona,Blekinge,1
102116,Olofström,Olofström,Blekinge,1
102119,Ronneby,Ronneby,Blekinge,1
102115,Sölvesborg,Sölvesborg,Blekinge,1
102128,Bjuv,Bjuv,Skåne,1
102130,Broby,Östra Göinge,Skåne,1
102114,Bromölla,Bromölla,Skåne,1
102138,Arlöv,Burlöv,Skåne,1
102132,Båstad,Båstad,Skåne,1
102107,Eslöv,Eslöv,Skåne,1
102121,Falsterbo,Vellinge,Skåne,1
102109,Helsingborg,Helsingborg,Skåne,1
102112,Hässleholm,Hässleholm,Skåne,1
102129,Höganäs,Höganäs,Skåne,1
102125,Hörby,Hörby,Skåne,1
102127,Höör,Höör,Skåne,1
102110,Klippan,Klippan,Skåne,1
102113,Kristianstad,Kristianstad,Skåne,1
102124,Kävlinge,Kävlinge,Skåne,1
102108,Landskrona,Landskrona,Skåne,1
102135,Lomma,Lomma,Skåne,1
102106,Lund,Lund,Skåne,1
102105,Malmö,Malmö,Skåne,1
102117,Osby,Osby,Skåne,1
102139,Perstorp,Perstorp,Skåne,1
102103,Simrishamn,Simrishamn,Skåne,1
102104,Sjöbo,Sjöbo,Skåne,1
102137,Skurup,Skurup,Skåne,1
102136,Staffanstorp,Staffanstorp,Skåne,1
102126,Svalöv,Svalöv,Skåne,1
102122,Svedala,Svedala,Skåne,1
102123,Tomelilla,Tomelilla,Skåne,1
102101,Trelleborg,Trelleborg,Skåne,1
102102,Ystad,Ystad,Skåne,1
102140,Åstorp,Åstorp,Skåne,1
102111,Ängelholm,Ängelholm,Skåne,1
102131,Örkelljunga,Örkelljunga,Skåne,1
102313,Falkenberg,Falkenberg,Hallands,2
102302,Halmstad,Halmstad,Hallands,2
102316,Hyltebruk,Hylte,Hallands,2
102315,Kungsbacka,Kungsbacka,Hallands,2
102301,Laholm,Laholm,Hallands,2
102231,Ullared,Falkenberg,Hallands,2
102314,Varberg,Varberg,Hallands,2
102252,Nödinge-Nol,Ale,Västra Götalands,2
102204,Alingsås,Alingsås,Västra Götalands,2
102223,Bengtsfors,Bengtsfors,Västra Götalands,2
102243,Bollebygd,Bollebygd,Västra Götalands,2
102206,Borås,Borås,Västra Götalands,2
102222,Ed,Dals-Ed,Västra Götalands,2
102244,Nossebro,Essunga,Västra Götalands,2
102215,Falköping,Falköping,Västra Götalands,2
102249,Färgelanda,Färgelanda,Västra Götalands,2
102248,Grästorp,Grästorp,Västra Götalands,2
102201,Göteborg,Göteborg,Västra Götalands,2
102519,Götene,Götene,Västra Götalands,2
102232,Herrljunga,Herrljunga,Västra Götalands,2
102217,Hjo,Hjo,Västra Götalands,2
102524,Hova,Gullspång,Västra Götalands,2
102254,Mölnlycke,Härryda,Västra Götalands,2
102218,Karlsborg,Karlsborg,Västra Götalands,2
102205,Kinna,Mark,Västra Götalands,2
102202,Kungälv,Kungälv,Västra Götalands,2
102203,Lerum,Lerum,Västra Götalands,2
102213,Lidköping,Lidköping,Västra Götalands,2
102253,Lilla Edet,Lilla Edet,Västra Götalands,2
102209,Lysekil,Lysekil,Västra Götalands,2
102219,Mariestad,Mariestad,Västra Götalands,2
102220,Mellerud,Mellerud,Västra Götalands,2
102234,Munkedal,Munkedal,Västra Götalands,2
102242,Mölndal,Mölndal,Västra Götalands,2
102240,Henån,Orust,Västra Götalands,2
102238,Partille,Partille,Västra Götalands,2
102214,Skara,Skara,Västra Götalands,2
102216,Skövde,Skövde,Västra Götalands,2
102235,Kungshamn,Sotenäs,Västra Götalands,2
102208,Stenungsund,Stenungsund,Västra Götalands,2
102221,Strömstad,Strömstad,Västra Götalands,2
102245,Svenljunga,Svenljunga,Västra Götalands,2
102518,Såtenäs,Lidköping,Västra Götalands,2
102247,Tanumshede,Tanum,Västra Götalands,2
102241,Tibro,Tibro,Västra Götalands,2
102251,Tidaholm,Tidaholm,Västra Götalands,2
102237,Skärhamn,Tjörn,Västra Götalands,2
102250,Tranemo,Tranemo,Västra Götalands,2
102212,Trollhättan,Trollhättan,Västra Götalands,2
102239,Töreboda,Töreboda,Västra Götalands,2
102210,Uddevalla,Uddevalla,Västra Götalands,2
102207,Ulricehamn,Ulricehamn,Västra Götalands,2
102523,Vara,Vara,Västra Götalands,2
102246,Vårgårda,Vårgårda,Västra Götalands,2
102211,Vänersborg,Vänersborg,Västra Götalands,2
102224,Åmål,Åmål,Västra Götalands,2
102236,Öckerö,Öckerö,Västra Götalands,2
102331,Hemse,Gotland,Gotlands,3
102330,Visby,Gotland,Gotlands,3
102343,Aneby,Aneby,Jönköpings,3
102322,Eksjö,Eksjö,Jönköpings,3
102317,Gislaved,Gislaved,Jönköpings,3
102344,Gnosjö,Gnosjö,Jönköpings,3
102345,Habo,Habo,Jönköpings,3
102320,Jönköping,Jönköping,Jönköpings,3
102342,Mullsjö,Mullsjö,Jönköpings,3
102321,Nässjö,Nässjö,Jönköpings,3
102334,Sävsjö,Sävsjö,Jönköpings,3
102328,Tranås,Tranås,Jönköpings,3
102319,Vaggeryd,Vaggeryd,Jönköpings,3
102323,Vetlanda,Vetlanda,Jönköpings,3
102318,Värnamo,Värnamo,Jönköpings,3
102308,Borgholm,Borgholm,Kalmar,3
102341,Emmaboda,Emmaboda,Kalmar,3
102326,Hultsfred,Hultsfred,Kalmar,3
102340,Högsby,Högsby,Kalmar,3
102307,Kalmar,Kalmar,Kalmar,3
102333,Mönsterås,Mönsterås,Kalmar,3
102339,Mörbylånga,Mörbylånga,Kalmar,3
102309,Nybro,Nybro,Kalmar,3
102325,Oskarshamn,Oskarshamn,Kalmar,3
102306,Torsås,Torsås,Kalmar,3
102327,Vimmerby,Vimmerby,Kalmar,3
102329,Västervik,Västervik,Kalmar,3
102332,Alvesta,Alvesta,Kronobergs,3
102310,Lessebo,Lessebo,Kronobergs,3
102312,Ljungby,Ljungby,Kronobergs,3
102303,Markaryd,Markaryd,Kronobergs,3
102305,Tingsryd,Tingsryd,Kronobergs,3
102311,Växjö,Växjö,Kronobergs,3
102324,Åseda,Uppvidinge,Kronobergs,3
102304,Älmhult,Älmhult,Kronobergs,3
102417,Eskilstuna,Eskilstuna,Södermanlands,4
102412,Flen,Flen,Södermanlands,4
102419,Gnesta,Gnesta,Södermanlands,4
102411,Katrineholm,Katrineholm,Södermanlands,4
102413,Nyköping,Nyköping,Södermanlands,4
102414,Oxelösund,Oxelösund,Södermanlands,4
102416,Strängnäs,Strängnäs,Södermanlands,4
102415,Trosa,Trosa,Södermanlands,4
102410,Vingåker,Vingåker,Södermanlands,4
102408,Finspång,Finspång,Östergötlands,4
102403,Kisa,Kinda,Östergötlands,4
102406,Linköping,Linköping,Östergötlands,4
102420,Malexander,Boxholm,Östergötlands,4
102402,Mjölby,Mjölby,Östergötlands,4
102407,Motala,Motala,Östergötlands,4
102409,Norrköping,Norrköping,Östergötlands,4
102421,Söderköping,Söderköping,Östergötlands,4
102418,Vadstena,Vadstena,Östergötlands,4
102405,Valdermarsvik,Valdemarsvik,Östergötlands,4
102422,Österbymo,Ydre,Östergötlands,4
102404,Åtvidaberg,Åtvidaberg,Östergötlands,4
102401,Ödeshög,Ödeshög,Östergötlands,4
102503,Arvika,Arvika,Värmlands,5
102521,Charlottenberg,Eda,Värmlands,5
102509,Filipstad,Filipstad,Värmlands,5
102528,Forshaga,Forshaga,Värmlands,5
102535,Grums,Grums,Värmlands,5
102506,Hagfors,Hagfors,Värmlands,5
102525,Skoghall,Hammarö,Värmlands,5
102507,Karlstad,Karlstad,Värmlands,5
102520,Kil,Kil,Värmlands,5
102508,Kristinehamn,Kristinehamn,Värmlands,5
102527,Munkfors,Munkfors,Värmlands,5
102534,Storfors,Storfors,Värmlands,5
102504,Sunne,Sunne,Värmlands,5
102502,Säffle,Säffle,Värmlands,5
102505,Torsby,Torsby,Värmlands,5
102501,Årjäng,Årjäng,Värmlands,5
102522,Östmark,Torsby,Värmlands,5
102512,Askersund,Askersund,Örebro,5
102532,Degerfors,Degerfors,Örebro,5
102530,Hallsberg,Hallsberg,Örebro,5
102531,Hällefors,Hällefors,Örebro,5
102510,Karlskoga,Karlskoga,Örebro,5
102516,Kopparberg,Ljusnarsberg,Örebro,5
102513,Kumla,Kumla,Örebro,5
102511,Laxå,Laxå,Örebro,5
102529,Fjugesta,Lekeberg,Örebro,5
102515,Lindesberg,Lindesberg,Örebro,5
102533,Nora,Nora,Örebro,5
102514,Örebro,Örebro,Örebro,5
102627,Adelsö,Ekerö,Stockholms,6
102623,Tumba,Botkyrka,Stockholms,6
102646,Danderyd,Danderyd,Stockholms,6
102610,Västerhaninge,Haninge,Stockholms,6
102624,Huddinge,Huddinge,Stockholms,6
102626,Jakobsberg,Järfälla,Stockholms,6
102647,Lidingö,Lidingö,Stockholms,6
102615,Märsta,Sigtuna,Stockholms,6
